,BR.CREDIT.TOTAL.IMPL.6M.M,CL.CREDIT.TOTAL.IMPL.6M.M,CO.CREDIT.TOTAL.IMPL.6M.M,MX.CREDIT.TOTAL.IMPL.6M.M,RU.CREDIT.TOTAL.IMPL.6M.M,ZA.CREDIT.TOTAL.IMPL.6M.M
2010-01-31 00:00:00,0.046,0.113,-0.009,-0.003,-0.005,0.0
2010-02-28 00:00:00,0.022,0.103,0.0,0.0,0.022,0.008
2010-03-31 00:00:00,0.022,0.092,0.016,0.008,0.017,0.011
2010-04-30 00:00:00,0.024,0.085,0.025,0.005,0.009,0.026
2010-05-31 00:00:00,0.026,0.093,0.026,0.01,0.014,0.039
2010-06-30 00:00:00,0.031,0.108,0.045,0.018,0.032,0.035
2010-07-31 00:00:00,0.028,0.041,0.041,0.013,0.036,0.035
2010-08-31 00:00:00,0.036,0.028,0.042,0.017,0.044,0.035
2010-09-30 00:00:00,0.034,0.024,0.041,0.013,0.062,0.044
2010-10-31 00:00:00,0.037,0.031,0.041,0.014,0.062,0.036
2010-11-30 00:00:00,0.041,0.022,0.049,0.013,0.062,0.034
2010-12-31 00:00:00,0.026,-0.011,0.045,0.007,0.064,0.012
2011-01-31 00:00:00,0.022,0.017,0.039,0.007,0.044,0.023
2011-02-28 00:00:00,0.025,0.038,0.047,0.011,0.038,0.017
2011-03-31 00:00:00,0.016,0.045,0.042,0.011,0.04,0.003
2011-04-30 00:00:00,0.011,0.065,0.033,0.009,0.03,-0.006
2011-05-31 00:00:00,0.004,0.046,0.03,0.006,0.033,-0.001
2011-06-30 00:00:00,0.003,0.068,0.015,0.009,0.031,0.005
2011-07-31 00:00:00,0.014,0.086,0.023,0.009,0.029,0.019
2011-08-31 00:00:00,0.016,0.059,0.026,0.006,0.042,0.014
2011-09-30 00:00:00,0.015,0.063,0.02,0.007,0.05,0.016
2011-10-31 00:00:00,0.015,0.032,0.016,-0.001,0.052,0.034
2011-11-30 00:00:00,0.019,0.037,0.017,0.004,0.05,0.01
2011-12-31 00:00:00,0.021,0.016,0.012,0.007,0.058,0.027
2012-01-31 00:00:00,0.019,0.012,0.008,0.005,0.046,0.028
2012-02-29 00:00:00,0.011,0.011,0.0,0.001,0.023,0.023
2012-03-31 00:00:00,0.019,0.028,-0.001,0.004,0.025,0.028
2012-04-30 00:00:00,0.008,0.006,-0.004,-0.002,0.015,0.021
2012-05-31 00:00:00,0.021,0.055,-0.003,0.004,0.006,0.018
2012-06-30 00:00:00,0.016,0.045,-0.008,0.001,-0.011,0.021
2012-07-31 00:00:00,0.012,0.038,-0.006,-0.004,-0.01,-0.005
2012-08-31 00:00:00,0.015,0.039,-0.001,0.001,0.017,0.008
2012-09-30 00:00:00,0.021,0.038,0.005,0.003,0.034,0.002
2012-10-31 00:00:00,0.017,0.025,0.005,0.0,0.032,-0.013
2012-11-30 00:00:00,0.008,0.018,0.006,0.003,0.02,0.022
2012-12-31 00:00:00,0.009,-0.056,0.015,-0.002,0.035,0.032
2013-01-31 00:00:00,0.01,-0.056,0.016,0.0,0.021,0.032
2013-02-28 00:00:00,0.008,-0.038,0.013,-0.002,-0.001,0.03
2013-03-31 00:00:00,0.015,-0.026,0.014,-0.001,-0.022,0.032
2013-04-30 00:00:00,0.024,-0.003,0.021,0.001,-0.023,0.022
2013-05-31 00:00:00,0.022,-0.004,0.018,0.001,-0.022,0.013
2013-06-30 00:00:00,0.029,0.044,0.018,0.004,-0.024,-0.006
2013-07-31 00:00:00,0.021,0.036,0.01,0.005,-0.013,-0.044
2013-08-31 00:00:00,0.025,0.081,0.012,0.007,0.012,-0.009
2013-09-30 00:00:00,0.017,0.052,0.014,0.004,0.033,0.006
2013-10-31 00:00:00,-0.006,0.046,0.011,0.005,0.045,-0.005
2013-11-30 00:00:00,0.001,0.054,0.006,0.005,0.046,0.005
2013-12-31 00:00:00,0.0,0.057,0.004,0.005,0.032,0.007
2014-01-31 00:00:00,-0.005,0.067,0.004,0.003,0.027,0.017
2014-02-28 00:00:00,-0.006,0.056,0.009,0.001,-0.003,0.031
2014-03-31 00:00:00,-0.008,-0.029,0.005,-0.002,-0.01,0.008
2014-04-30 00:00:00,0.008,0.002,0.007,-0.001,-0.016,0.019
2014-05-31 00:00:00,0.016,-0.007,0.01,0.0,-0.019,0.024
2014-06-30 00:00:00,0.011,-0.007,0.02,-0.004,-0.026,0.028
2014-07-31 00:00:00,0.006,-0.009,0.026,-0.003,0.006,0.03
2014-08-31 00:00:00,0.001,-0.035,0.013,0.0,0.015,0.015
2014-09-30 00:00:00,0.008,-0.005,0.009,0.001,0.029,0.012
2014-10-31 00:00:00,0.004,-0.011,0.011,0.001,0.027,0.007
2014-11-30 00:00:00,0.001,-0.019,0.008,0.003,0.019,0.004
2014-12-31 00:00:00,0.008,-0.005,0.009,0.002,0.012,-0.004
2015-01-31 00:00:00,0.016,0.011,0.018,0.005,-0.016,-0.008
2015-02-28 00:00:00,0.022,0.007,0.033,0.005,-0.038,-0.013
2015-03-31 00:00:00,0.026,0.01,0.04,0.008,-0.049,0.001
2015-04-30 00:00:00,0.014,0.009,0.04,0.012,-0.056,0.009
2015-05-31 00:00:00,0.008,0.027,0.043,0.011,-0.064,0.013
2015-06-30 00:00:00,0.002,0.006,0.036,0.01,-0.073,0.002
2015-07-31 00:00:00,-0.003,0.028,0.035,0.009,-0.062,0.027
2015-08-31 00:00:00,-0.013,0.012,0.02,0.006,-0.033,0.022
2015-09-30 00:00:00,-0.011,0.049,0.005,0.012,-0.008,0.016
2015-10-31 00:00:00,-0.025,0.087,-0.006,0.004,0.013,0.017
2015-11-30 00:00:00,-0.017,0.077,0.006,0.002,0.026,0.011
2015-12-31 00:00:00,-0.016,0.082,-0.002,0.005,0.037,0.011
2016-01-31 00:00:00,-0.012,0.076,0.004,0.014,0.04,0.023
2016-02-29 00:00:00,-0.018,0.058,0.005,0.016,0.022,0.018
2016-03-31 00:00:00,-0.033,0.036,-0.026,0.007,0.007,0.015
2016-04-30 00:00:00,-0.04,0.017,-0.016,0.001,-0.001,0.01
2016-05-31 00:00:00,-0.036,-0.062,-0.017,0.008,-0.011,-0.008
2016-06-30 00:00:00,-0.042,-0.048,-0.02,0.011,-0.012,-0.027
2016-07-31 00:00:00,-0.044,-0.072,-0.006,0.007,0.0,-0.024
2016-08-31 00:00:00,-0.047,-0.066,-0.016,-0.004,0.004,-0.022
2016-09-30 00:00:00,-0.038,-0.069,-0.011,0.0,0.008,-0.024
2016-10-31 00:00:00,-0.017,-0.048,-0.001,0.011,0.01,-0.028
2016-11-30 00:00:00,-0.012,-0.013,0.0,0.018,0.013,-0.001
2016-12-31 00:00:00,-0.019,-0.024,-0.009,0.006,0.012,0.025
2017-01-31 00:00:00,-0.004,-0.006,-0.005,0.003,-0.001,0.025
2017-02-28 00:00:00,0.001,0.014,-0.006,0.002,-0.001,0.02
